epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15282,2.83524,4.95754,2.38192,0,0,0,0,3.03179,4.60913,2.62009,0,0,0
2,17.6231,2.65522,4.74217,2.23766,0,0,0,0,3.00949,4.58564,2.60487,1.9604e-05,1.9604e-05,1.9604e-05
3,26.0725,2.4322,4.8273,2.11951,0,0,0,0,2.96546,4.57837,2.48858,3.8416e-05,3.8416e-05,3.8416e-05
4,34.4572,2.61272,4.46657,2.18758,0,0,0,0,2.83724,4.58989,2.37429,5.6436e-05,5.6436e-05,5.6436e-05
5,42.8935,2.30772,4.43548,2.06465,0,0,0,0,2.61485,4.57414,2.1643,7.3664e-05,7.3664e-05,7.3664e-05
6,51.1701,2.63417,4.56127,2.16009,0.00167,0.16667,0.00103,0.00031,2.33172,4.48609,1.91909,9.01e-05,9.01e-05,9.01e-05
7,59.5069,1.98033,4.20572,1.79404,0.00667,0.66667,0.0062,0.00192,2.04157,4.14641,1.6909,0.000105744,0.000105744,0.000105744
8,67.658,1.89712,4.0737,1.7233,0.00833,0.83333,0.01139,0.004,1.91961,4.07314,1.57683,0.000120596,0.000120596,0.000120596
9,75.8516,1.77736,3.80597,1.58771,0.00833,0.83333,0.01329,0.00512,1.85826,3.85471,1.46463,0.000134656,0.000134656,0.000134656
10,83.9857,1.61881,3.5333,1.41472,0.00833,0.83333,0.02965,0.01334,1.74598,3.80032,1.4103,0.000147924,0.000147924,0.000147924
11,92.1953,1.85135,3.65575,1.5169,0.01,1,0.14462,0.04316,1.71924,3.80276,1.38844,0.0001604,0.0001604,0.0001604
12,100.331,1.44622,3.19323,1.28652,0.01,1,0.14462,0.04316,1.71924,3.80276,1.38844,0.000172084,0.000172084,0.000172084
13,108.604,1.8593,3.24716,1.50562,0.01,1,0.17936,0.0612,1.73419,3.73625,1.36883,0.000182976,0.000182976,0.000182976
14,116.783,1.83872,2.90893,1.4894,0.01,1,0.17936,0.0612,1.73419,3.73625,1.36883,0.000193076,0.000193076,0.000193076
15,124.946,1.67758,3.05586,1.32855,0.01,1,0.22943,0.09734,1.53611,3.66433,1.23271,0.000202384,0.000202384,0.000202384
16,133.038,1.5417,2.37393,1.24158,0.01,1,0.22943,0.09734,1.53611,3.66433,1.23271,0.0002109,0.0002109,0.0002109
17,141.254,1.59666,2.57198,1.35448,0.01,1,0.30529,0.13235,1.55186,3.59489,1.20394,0.000218624,0.000218624,0.000218624
18,149.433,1.58434,2.30165,1.24913,0.01,1,0.30529,0.13235,1.55186,3.59489,1.20394,0.000225556,0.000225556,0.000225556
19,157.763,1.37563,2.84769,1.19756,0.01,1,0.58832,0.14958,1.61396,3.6352,1.2952,0.000231696,0.000231696,0.000231696
20,165.932,1.52055,2.46963,1.25333,0.01,1,0.58832,0.14958,1.61396,3.6352,1.2952,0.000237044,0.000237044,0.000237044
21,174.176,1.35933,2.13768,1.20143,0.01,1,0.71059,0.24909,1.81287,3.61458,1.39337,0.0002416,0.0002416,0.0002416
22,182.388,1.51982,1.92073,1.21791,0.01,1,0.71059,0.24909,1.81287,3.61458,1.39337,0.000245364,0.000245364,0.000245364
23,190.711,1.42584,2.03084,1.15748,0.01,1,0.58454,0.19821,1.83482,3.67992,1.43958,0.000248336,0.000248336,0.000248336
24,198.954,1.36154,1.95757,1.1827,0.01,1,0.58454,0.19821,1.83482,3.67992,1.43958,0.000250516,0.000250516,0.000250516
25,207.033,1.25541,1.98422,1.16147,0.01,1,0.50132,0.19875,1.91379,3.67371,1.47361,0.000251904,0.000251904,0.000251904
26,215.131,1.20047,1.81919,1.09137,0.01,1,0.50132,0.19875,1.91379,3.67371,1.47361,0.0002525,0.0002525,0.0002525
